End,Photovoltaics [MWh],Wind[MWh],PV Scaled,Wind Scaled
12:15 AM,0.00,7966.75,0,0.126303982
12:30 AM,0.00,7922.75,0,0.125606411
12:45 AM,0.00,7802.75,0,0.123703944
1:00 AM,0.00,7771,0,0.123200583
1:15 AM,0.00,7634.5,0,0.121036527
1:30 AM,0.00,7599.75,0,0.120485605
1:45 AM,0.00,7488,0,0.118713932
2:00 AM,0.00,7333.5,0,0.116264506
2:15 AM,0.00,7306.75,0,0.115840415
2:30 AM,0.00,7221.5,0,0.114488871
2:45 AM,0.00,7089.25,0,0.112392194
3:00 AM,0.00,7044.5,0,0.111682732
3:15 AM,0.00,6960.25,0,0.110347042
3:30 AM,0.00,6881.5,0,0.109098548
3:45 AM,0.00,6770,0,0.107330839
4:00 AM,0.00,6769.25,0,0.107318949
4:15 AM,0.00,6604.25,0,0.104703057
4:30 AM,0.00,6628.75,0,0.105091477
4:45 AM,0.00,6471,0,0.102590526
5:00 AM,0.00,6377.5,0,0.101108187
5:15 AM,0.00,6194,0,0.098198998
5:30 AM,0.00,6045.75,0,0.095848659
5:45 AM,0.00,5919.5,0,0.093847105
6:00 AM,0.00,5866.5,0,0.093006849
6:15 AM,0.00,5917.25,0,0.093811434
6:30 AM,0.00,5902.75,0,0.093581552
6:45 AM,0.00,5936.75,0,0.094120585
7:00 AM,0.00,5933.5,0,0.09406906
7:15 AM,0.00,5858.75,0,0.092883981
7:30 AM,0.00,5740.25,0,0.091005295
7:45 AM,0.00,5638.75,0,0.089396125
8:00 AM,0.50,5568.25,8.65891E-06,0.088278426
8:15 AM,1.25,5395,2.16473E-05,0.085531739
8:30 AM,15.50,5217.5,0.000268426,0.082717674
8:45 AM,75.25,5100,0.001303166,0.080854842
9:00 AM,165.75,5095.25,0.002870428,0.080779536
9:15 AM,287.25,5090.25,0.004974543,0.080700266
9:30 AM,425.75,5041,0.00737306,0.079919462
9:45 AM,560.50,4910.5,0.009706636,0.07785053
10:00 AM,703.50,4810,0.012183084,0.076257214
10:15 AM,857.00,4700.75,0.014841369,0.074525176
10:30 AM,"1,020.25",4550.75,0.017668502,0.072147092
10:45 AM,"1,186.50",4451.5,0.020547589,0.070573594
11:00 AM,"1,344.00",4309.75,0.023275145,0.068326305
11:15 AM,"1,477.25",4136,0.025582745,0.065571691
11:30 AM,"1,612.25",4102.25,0.02792065,0.065036622
11:45 AM,"1,728.00",4036,0.029925187,0.063986302
12:00 PM,"1,822.00",3890,0.031553062,0.061671634
12:15 PM,"1,891.50",3878.5,0.03275665,0.061489314
12:30 PM,"1,953.50",3881.5,0.033830355,0.061536876
12:45 PM,"1,974.75",3808.25,0.034198358,0.060375579
1:00 PM,"1,924.25",3766,0.033323809,0.059705752
1:15 PM,"1,851.75",3687.25,0.032068267,0.058457258
1:30 PM,"1,767.50",3630.25,0.030609241,0.057553586
1:45 PM,"1,649.50",3579.75,0.028565738,0.056752965
2:00 PM,"1,524.25",3551.75,0.026396682,0.056309056
2:15 PM,"1,384.50",3569.25,0.023976517,0.056586499
2:30 PM,"1,240.75",3529.25,0.021487081,0.055952343
2:45 PM,"1,082.75",3538.25,0.018750866,0.056095028
3:00 PM,912.75,3564.5,0.015806837,0.056511193
3:15 PM,728.50,3619.25,0.012616029,0.057379193
3:30 PM,538.00,3634.75,0.009316985,0.057624929
3:45 PM,361.25,3697.5,0.006256061,0.05861976
4:00 PM,217.00,3818.75,0.003757966,0.060542045
4:15 PM,109.00,3965.5,0.001887642,0.062868603
4:30 PM,37.00,4101,0.000640759,0.065016805
4:45 PM,4.25,4228.5,7.36007E-05,0.067038176
5:00 PM,0.25,4368.25,4.32945E-06,0.069253757
5:15 PM,0.00,4522.5,0,0.07169922
5:30 PM,0.00,4649.5,0,0.073712664
5:45 PM,0.00,4789.5,0,0.075932209
6:00 PM,0.00,4911,0,0.077858456
6:15 PM,0.00,5053.75,0,0.080121599
6:30 PM,0.00,5165.75,0,0.081897235
6:45 PM,0.00,5273.25,0,0.083601528
7:00 PM,0.00,5455.5,0,0.0864909
7:15 PM,0.00,5622.5,0,0.0891385
7:30 PM,0.00,5695.75,0,0.090299797
7:45 PM,0.00,5792,0,0.091825734
8:00 PM,0.00,5884.25,0,0.093288255
8:15 PM,0.00,6004.75,0,0.095198649
8:30 PM,0.00,6027.25,0,0.095555362
8:45 PM,0.00,6057.75,0,0.096038905
9:00 PM,0.00,6096.25,0,0.09664928
9:15 PM,0.00,6105,0,0.096788002
9:30 PM,0.00,6185.75,0,0.098068203
9:45 PM,0.00,6235.5,0,0.098856934
10:00 PM,0.00,6307,0,0.099990488
10:15 PM,0.00,6209.5,0,0.098444733
10:30 PM,0.00,6314,0,0.100101465
10:45 PM,0.00,6361.75,0,0.100858488
11:00 PM,0.00,6375.5,0,0.101076479
11:15 PM,0.00,6377.5,0,0.101108187
11:30 PM,0.00,6444,0,0.102162471
11:45 PM,0.00,6446.75,0,0.102206069
12:00 AM,0.00,6459,0,0.102400279
